year,month,product_code,product_name,quantity_tons,import_value,customs_amount
2020,9,1001,թռչնի միս,2644.1787,1086.1285,440.500519
2020,9,1006,կարագ,231.1918,578.9493,109.392133
2020,9,1101,բանան,1505.7108,420.4558,104.249255
2020,9,1512,նարինջ,35.979,9.9074,0.263823
2020,9,1701,ցորեն,35587.625,3196.3215,0.0
2020,9,207,բրինձ,434.2008,154.8448,28.010425
2020,9,405,ալյուր,1555.0927,194.3912,0.525676
2020,9,803,հնդկաձավար,296.2402,96.6792,0.0
2020,9,805,ձեթ,2536.3344,1023.7547,10.195495
2020,9,1104,մարգարին,1524.4332,844.2016,78.92739
2020,9,1517,"շաքարավազ, հումք",3690.358,760.9241,50.473913
2020,9,1901,մանկական սնունդ,24.5385,92.4629,11.500468
2020,9,3004,դեղորայք,106.5444,4075.5171,671.173475
2020,9,2710,բենզին,7112.618,1974.3326,17.826521
2020,9,,դիզ. վառելիք,16275.545,3357.356,772.327156
2020,10,1001,թռչնի միս,2135.527,886.9072,276.73064
2020,10,1006,կարագ,242.5271,520.8459,95.610075
2020,10,1101,բանան,1712.9588,516.9187,128.183311
2020,10,1512,նարինջ,206.917,55.9564,11.710655
2020,10,1701,ցորեն,29480.554,2760.4011,20.003071
2020,10,207,բրինձ,656.4012,213.9267,32.61853
2020,10,405,ալյուր,2220.7253,283.4482,0.0
2020,10,803,հնդկաձավար,954.619,304.0684,0.0
2020,10,805,ձեթ,3515.5562,1872.3592,0.132494
2020,10,1104,մարգարին,1634.0837,823.0146,47.6885
2020,10,1517,"շաքարավազ, հումք",8454.584,1806.4846,212.944173
2020,10,1901,մանկական սնունդ,52.3045,259.562,43.804825
2020,10,3004,դեղորայք,357.5615,4287.162,694.435862
2020,10,2710,բենզին,25000.84,6274.1179,0.0
2020,10,,դիզ. վառելիք,18233.426,3661.1902,613.856117
2020,11,1001,թռչնի միս,2999.2704,1258.7278,471.042311
2020,11,1006,կարագ,149.4286,385.5574,129.508134
2020,11,1101,բանան,1987.6212,599.1508,148.585851
2020,11,1512,նարինջ,1022.2946,256.5376,59.626405
2020,11,1701,ցորեն,26875.27,2773.0811,0.0
2020,11,207,բրինձ,568.3162,173.8284,24.834679
2020,11,405,ալյուր,1511.8264,221.6428,2.409552
2020,11,803,հնդկաձավար,766.1335,227.299,0.0
